STATION ID,TIME,LAST UPDATED,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE
21,2020-01-03 00:40:02,2020-01-03 00:32:18,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:45:02,2020-01-03 00:42:27,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:50:01,2020-01-03 00:42:27,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 00:55:02,2020-01-03 00:52:36,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:00:02,2020-01-03 00:52:36,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:05:02,2020-01-03 01:02:46,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:10:02,2020-01-03 01:02:46,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:15:02,2020-01-03 01:12:55,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:20:02,2020-01-03 01:12:55,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:25:02,2020-01-03 01:23:04,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:30:02,2020-01-03 01:23:04,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:35:02,2020-01-03 01:33:12,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:40:02,2020-01-03 01:33:12,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:45:02,2020-01-03 01:43:22,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:50:02,2020-01-03 01:43:22,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 01:55:02,2020-01-03 01:53:31,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
21,2020-01-03 02:00:02,2020-01-03 01:53:31,LEINSTER STREET SOUTH,30,21,9,Open,Leinster Street South,53.342178,-6.254485
